1.907118988560214845e+01,1.821539291264618754e+01,1.709475449678187431e+01,1.715758952311601249e+01,1.634232058250951880e+01,1.597117707778153850e+01,1.702005059245952268e+01,1.796796855629419909e+01
1.816909757516255652e+01,1.753642055632928987e+01,1.666305427513850290e+01,1.701456601773956123e+01,1.651077204965764622e+01,1.644802634376312156e+01,1.776800595214436385e+01,1.895748930708947810e+01
1.677402886144023952e+01,1.775580712977332354e+01,1.868747255899192083e+01,2.106657153712935582e+01,2.277201305131284670e+01,2.488879585701858588e+01,2.802571333090485695e+01,3.081592229401115546e+01
1.082790633588417784e+01,1.352253177975103071e+01,1.635547289140211547e+01,2.093900567831089532e+01,2.502708139508969865e+01,2.950145606299265211e+01,3.469199019969879316e+01,3.930856827814373844e+01
1.501798646487926980e+01,1.684842040114105899e+01,1.872576846209818768e+01,2.218289053951851386e+01,2.505851584582350000e+01,2.833134943837054109e+01,3.245220118312213486e+01,3.611318055970160401e+01
1.463978804496318986e+01,1.717366794285064202e+01,1.983820710200924964e+01,2.417604419550519168e+01,2.801227836056627396e+01,3.223244400382316144e+01,3.713849028865018909e+01,4.149034667401522114e+01
1.227474660780069726e+01,1.938539098102837599e+01,2.717185232791670302e+01,3.723866253053679287e+01,4.732398638312498917e+01,5.770672146349716058e+01,6.771870944008433923e+01,7.656281236917259037e+01
3.142963475797904493e+01,3.694245274965604153e+01,4.299724694290203786e+01,5.084532045811182854e+01,5.858991110566911686e+01,6.663554396409840308e+01,7.434805798965999202e+01,8.109814888617572137e+01
2.749224039468179370e+01,3.798707262012634800e+01,4.961310974756415959e+01,6.371368740362539995e+01,7.827252183146141817e+01,9.304019334783644979e+01,1.063491911667975245e+02,1.180283846298858208e+02
1.549182255941030562e+01,3.186579212036959419e+01,5.004363707583001286e+01,7.161035025976012491e+01,9.427430706149330319e+01,1.170489544830972193e+02,1.371695988297319957e+02,1.548764071816669912e+02
3.212328589460811656e+01,5.026979692798824573e+01,7.048539215925779899e+01,9.406155882679355784e+01,1.189934493613149868e+02,1.439770807389231777e+02,1.655803567858448275e+02,1.845237033829483551e+02
2.900099683087275793e+01,5.346725100203042302e+01,8.075580263087978494e+01,1.122410079715133122e+02,1.458005971127809062e+02,1.792922491997097723e+02,2.079419282088402667e+02,2.330841990474926604e+02
3.840745738651239094e+01,6.806671277240795348e+01,1.012040820952222901e+02,1.390454114435799511e+02,1.795905743410029345e+02,2.199521017776809515e+02,2.540542611733721117e+02,2.839468889433515528e+02
6.029391236649900065e+01,8.943504916769541069e+01,1.220592045793442679e+02,1.589940819081378152e+02,1.986441909458797852e+02,2.380891151438736699e+02,2.710035794956332325e+02,2.997676194427688188e+02
1.110245702566046901e+02,1.337607160868061271e+02,1.593630866289315122e+02,1.877148071714302660e+02,2.182080348821735640e+02,2.485484058085656613e+02,2.729799996962912587e+02,2.940972699544646503e+02
1.873783797231824906e+02,2.033460785627323730e+02,2.215982966418351339e+02,2.406084779361784456e+02,2.612278234661837928e+02,2.817166335648310564e+02,2.965425743911729910e+02,3.089268307857575451e+02
2.293288003373940853e+02,2.417897341664095165e+02,2.562411713442550081e+02,2.703829314550676486e+02,2.858658195490083926e+02,3.012262701989998277e+02,3.110080431348580987e+02,3.187991035757062264e+02
2.464940046735511601e+02,2.552366162654724633e+02,2.655738011516752977e+02,2.748792973482745765e+02,2.851529155577088090e+02,2.953522871228557278e+02,3.005559259689111968e+02,3.042601296266345230e+02
2.741582244370555372e+02,2.779881547064699134e+02,2.829049147926863270e+02,2.857612226364493040e+02,2.891090402350812951e+02,2.924390532120462467e+02,2.914534261479258248e+02,2.896150532902557870e+02
2.600287906497356403e+02,2.639820346273177734e+02,2.689934521210825551e+02,2.721719122048414192e+02,2.758101706197107319e+02,2.794486865104515800e+02,2.789972986598140210e+02,2.776833749715725048e+02
